Search Query,Folder Name,Artworks Fetched,Total Available
minimal mountain badge logo,20250829_124202,100,1452
retro 70s sunset with palm trees,20250829_124204,58,58
kawaii cat in a ramen bowl,20250829_124205,0,0
geometric low-poly wolf head,20250829_124207,100,152
vintage motorcycle club emblem,20250829_124208,100,3246
bold typography “GOOD VIBES”,20250829_124211,100,209
floral sugar skull,20250829_124212,100,5941
astronaut holding a planet balloon,20250829_124214,0,0
japanese wave line art,20250829_124215,100,5804
seamless doodle pattern,20250829_124217,100,294421
Red angry bull,20250829_124219,100,3113
