art_id,search_folders,selection_reason
20465580,search_1;search_3,multi_folder
50973322,search_6,min_requirement
56735590,search_1;search_2,multi_folder
51873377,search_2,proportional
54276303,search_1;search_2,multi_folder
51010909,search_6,min_requirement
52428630,search_2,proportional
50925295,search_6,fill_to_target
48770197,search_4,min_requirement
3523190,search_4,min_requirement
56216278,search_1,fill_to_target
54933458,search_6,min_requirement
5838994,search_4,min_requirement
24955399,search_1;search_3,multi_folder
54157493,search_1;search_3,multi_folder
48783606,search_1;search_2,multi_folder
51898522,search_5,proportional
38140374,search_1;search_2,multi_folder
10037795,search_4,min_requirement
47574101,search_1,proportional
55266847,search_1,fill_to_target
43327811,search_1,proportional
50986429,search_6,min_requirement
56830221,search_5,min_requirement
50701113,search_1,proportional
37700774,search_2,proportional
49510689,search_6,fill_to_target
9793971,search_4,min_requirement
45349855,search_1,proportional
49487851,search_2,proportional
55822839,search_6,fill_to_target
48785560,search_2,proportional
22363945,search_4,proportional
54933195,search_6,min_requirement
51635415,search_2,fill_to_target
52022024,search_2,fill_to_target
56851629,search_6,proportional
46133432,search_2,proportional
13784307,search_1;search_2,multi_folder
50379134,search_5,min_requirement
57039472,search_1;search_2,multi_folder
4571445,search_4,proportional
47574098,search_1,fill_to_target
52602226,search_1,proportional
50941432,search_6,min_requirement
6067020,search_4,min_requirement
37802725,search_6,proportional
26551441,search_6,min_requirement
55142864,search_5,proportional
55821697,search_6,min_requirement
50379133,search_5,proportional
46353953,search_1;search_2,multi_folder
59216499,search_5,proportional
43971080,search_1;search_5,multi_folder
24484659,search_4,fill_to_target
40306019,search_1,proportional
29669466,search_1;search_2,multi_folder
50917338,search_6,fill_to_target
34042725,search_1;search_2,multi_folder
27020984,search_4,proportional
37339995,search_5,min_requirement
30744819,search_6,proportional
56563122,search_1;search_2,multi_folder
43559799,search_1,proportional
50906071,search_6,proportional
57834121,search_1,proportional
6380561,search_4,proportional
47288841,search_2,fill_to_target
40903053,search_4,min_requirement
59215130,search_5,min_requirement
5962230,search_4,min_requirement
38048725,search_2,proportional
3201245,search_1,proportional
48835382,search_2,proportional
19905168,search_4,fill_to_target
50906081,search_6,fill_to_target
38420450,search_4,proportional
58851348,search_5,min_requirement
43838663,search_1;search_2,multi_folder
6861696,search_1,fill_to_target
40545169,search_1,proportional
49044558,search_6,min_requirement
32146582,search_1;search_2,multi_folder
59214667,search_5,min_requirement
41352264,search_1;search_2,multi_folder
56121290,search_6,min_requirement
48365258,search_5,min_requirement
5399112,search_4,proportional
38827131,search_2,fill_to_target
41352301,search_2,fill_to_target
50379123,search_5,min_requirement
56764568,search_1,proportional
36043225,search_2,proportional
58775669,search_4,min_requirement
38018048,search_5,min_requirement
43576415,search_1,fill_to_target
33867550,search_4,proportional
11521705,search_4,min_requirement
50917337,search_6,proportional
44689666,search_5,proportional
