art_id,search_folders,selection_reason
51615086,search_2;search_3,multi_folder
20982800,search_1;search_3,multi_folder
21022363,search_1;search_2;search_3,multi_folder
6351046,search_1;search_3,multi_folder
45085091,search_4;search_6,multi_folder
13966349,search_3;search_4,multi_folder
54797031,search_5,min_requirement
54038355,search_5,fill_to_target
29638482,search_1;search_2;search_3,multi_folder
2842139,search_1;search_3,multi_folder
2982799,search_1;search_3,multi_folder
18036571,search_1;search_3,multi_folder
15286739,search_1;search_3,multi_folder
50797496,search_5,min_requirement
23273269,search_1;search_3,multi_folder
31720358,search_4,proportional
4374123,search_1,fill_to_target
21198001,search_1;search_2;search_3,multi_folder
51679633,search_1;search_2;search_3,multi_folder
20278586,search_1;search_3,multi_folder
35629642,search_1;search_2,multi_folder
5238823,search_1;search_3,multi_folder
48101886,search_2,proportional
54038336,search_5,min_requirement
35591542,search_1,proportional
36664578,search_1;search_3,multi_folder
31768180,search_1;search_3,multi_folder
46894177,search_6,min_requirement
55640254,search_5,min_requirement
21097814,search_1;search_3,multi_folder
4829322,search_1;search_3,multi_folder
21408456,search_1;search_3,multi_folder
51113356,search_2;search_6,multi_folder
51444035,search_5,fill_to_target
42832085,search_1;search_3,multi_folder
20163439,search_2;search_3,multi_folder
41808090,search_2;search_4,multi_folder
2982805,search_1;search_3,multi_folder
38239869,search_1;search_3,multi_folder
2991513,search_1;search_3,multi_folder
56857152,search_1;search_4,multi_folder
13841336,search_1;search_3;search_4,multi_folder
4660475,search_4,min_requirement
36323444,search_1;search_2;search_3,multi_folder
6805489,search_4,min_requirement
49875174,search_5,min_requirement
51329747,search_5,min_requirement
35972098,search_1;search_2,multi_folder
46644090,search_6,min_requirement
49689271,search_4,min_requirement
21257624,search_1;search_3,multi_folder
39664680,search_6,min_requirement
23718312,search_1;search_3,multi_folder
22324967,search_1;search_2;search_3,multi_folder
3551988,search_1;search_3,multi_folder
25512973,search_1;search_3,multi_folder
46644151,search_6,proportional
57031261,search_2,proportional
14240226,search_1;search_3,multi_folder
26756594,search_1;search_3,multi_folder
55224512,search_5,proportional
18036586,search_1;search_3,multi_folder
19531116,search_1;search_3,multi_folder
17901404,search_1;search_3,multi_folder
28164728,search_2,proportional
46949523,search_6,min_requirement
56675466,search_5,fill_to_target
46644070,search_6,min_requirement
20236559,search_3,proportional
50765542,search_5,min_requirement
44976914,search_6,min_requirement
42847737,search_6,min_requirement
20996222,search_1;search_3,multi_folder
2972436,search_1,proportional
6036366,search_1;search_3,multi_folder
20163366,search_1;search_3,multi_folder
55224515,search_5,min_requirement
28350146,search_1;search_3,multi_folder
21884787,search_1;search_2;search_3,multi_folder
51305040,search_5,min_requirement
7146579,search_1;search_3,multi_folder
11308481,search_4,proportional
13841447,search_1;search_3,multi_folder
51402093,search_5,min_requirement
44063699,search_1;search_3;search_4,multi_folder
4123435,search_1;search_3,multi_folder
21198022,search_1;search_3,multi_folder
46649394,search_6,min_requirement
28018849,search_2;search_3,multi_folder
28197876,search_1;search_3,multi_folder
8876916,search_1;search_3,multi_folder
31169113,search_1;search_3,multi_folder
7364600,search_1;search_3,multi_folder
9703095,search_1;search_3,multi_folder
7202545,search_4,fill_to_target
20625115,search_1;search_3,multi_folder
17143103,search_1;search_3,multi_folder
21322797,search_2;search_3,multi_folder
27310630,search_2;search_4,multi_folder
37285319,search_1;search_3,multi_folder
